AQI,pollutionlevel
199,4
206,5
208,5
213,5
168,4
211,5
213,5
204,5
208,5
212,5
212,5
207,5
210,5
213,5
160,4
202,5
125,3
148,3
182,4
175,4
201,5
178,4
211,5
211,5
192,4
199,4
203,5
189,4
202,5
204,5
204,5
163,4
130,3
156,4
128,3
130,3
208,5
163,4
149,3
139,3
130,3
130,3
163,4
192,4
182,4
204,5
156,4
126,3
140,3
126,3
144,3
140,3
123,3
108,3
121,3
126,3
126,3
130,3
135,3
147,3
139,3
147,3
137,3
137,3
168,4
140,3
128,3
121,3
134,3
130,3
163,4
163,4
202,5
201,5
168,4
207,5
204,5
221,5
156,4
126,3
202,5
149,3
108,3
103,3
108,3
109,3
128,3
168,4
130,3
109,3
103,3
125,3
137,3
113,3
97,2
102,3
104,3
115,3
109,3
137,3
123,3
123,3
147,3
125,3
123,3
213,5
163,4
143,3
99,2
103,3
103,3
140,3
130,3
107,3
126,3
156,4
203,5
175,4
113,3
120,3
115,3
224,5
210,5
147,3
102,3
120,3
109,3
112,3
121,3
121,3
209,5
118,3
130,3
108,3
134,3
102,3
120,3
109,3
109,3
108,3
103,3
108,3
103,3
112,3
115,3
94,2
108,3
103,3
93,2
93,2
121,3
117,3
108,3
97,2
108,3
103,3
108,3
103,3
102,3
103,3
108,3
103,3
107,3
118,3
94,2
93,2
104,3
107,3
93,2
108,3
112,3
108,3
103,3
103,3
108,3
93,2
128,3
93,2
103,3
103,3
108,3
103,3
103,3
103,3
112,3
108,3
108,3
108,3
112,3
108,3
103,3
112,3
113,3
153,4
107,3
107,3
108,3
112,3
108,3
112,3
108,3
93,2
103,3
108,3
103,3
103,3
103,3
103,3
108,3
108,3
112,3
104,3
103,3
108,3
103,3
103,3
103,3
103,3
112,3
93,2
108,3
112,3
103,3
103,3
103,3
108,3
103,3
108,3
103,3
103,3
93,2
108,3
108,3
112,3
103,3
108,3
108,3
108,3
103,3
112,3
108,3
108,3
103,3
103,3
113,3
103,3
104,3
115,3
104,3
103,3
103,3
103,3
108,3
113,3
108,3
103,3
107,3
109,3
115,3
108,3
108,3
108,3
112,3
117,3
117,3
109,3
103,3
108,3
112,3
118,3
109,3
99,2
115,3
108,3
118,3
115,3
123,3
121,3
117,3
113,3
109,3
123,3
120,3
125,3
113,3
118,3
118,3
125,3
120,3
107,3
107,3
168,4
147,3
130,3
130,3
147,3
140,3
160,4
147,3
125,3
147,3
163,4
140,3
115,3
120,3
108,3
134,3
137,3
120,3
140,3
130,3
112,3
115,3
130,3
160,4
147,3
156,4
189,4
189,4
113,3
118,3
160,4
168,4
185,4
202,5
168,4
134,3
185,4
192,4
140,3
185,4
204,5
182,4
126,3
156,4
196,4
120,3
113,3
120,3
