Date,Country,City,Specie,count,min,max,median,variance,IAQI_CO,IAQI_SO2,IAQI_NO2,IAQI_O3,IAQI_PM25,IAQI_PM10
2021/12/27,CN,Lanzhou,co,70,5.5,70.9,14.5,1129.84,153,15,19,8,21,15
2021/12/27,CN,Lanzhou,dew,66,-22,-14,-20,84.67,-500,-20,-25,-10,-29,-20
2021/12/27,CN,Lanzhou,humidity,72,45,77,65,845.85,0,58,82,33,88,58
2021/12/27,CN,Lanzhou,no2,71,10.1,50.4,28.8,810.59,240,29,36,15,42,29
2021/12/27,CN,Lanzhou,o3,71,0.9,24.4,4.5,384.74,103,5,6,3,7,5
2021/12/27,CN,Lanzhou,pm10,71,46,121,68,1551.27,0,59,85,34,92,59
2021/12/27,CN,Lanzhou,pm25,71,76,188,149,8302.06,0,100,135,91,199,100
2021/12/27,CN,Lanzhou,pressure,72,1021,1028,1024,39.28,0,228,0,0,0,0
2021/12/27,CN,Lanzhou,so2,71,4.6,29.9,11.7,499.3,139,12,15,6,17,12
2021/12/27,CN,Lanzhou,temperature,72,-18,-4,-14,246.6,-350,-14,-18,-7,-20,-14
2021/12/27,CN,Lanzhou,windspeed,72,0.5,2.5,1.5,4.79,38,2,2,1,3,2
2021/12/28,CN,Lanzhou,co,63,5.5,75.8,17.2,2376.01,166,18,22,9,25,18
2021/12/28,CN,Lanzhou,dew,72,-22,-15,-20,55.33,-500,-20,-25,-10,-29,-20
2021/12/28,CN,Lanzhou,humidity,72,30,77,60,2249.14,0,55,75,30,82,55
2021/12/28,CN,Lanzhou,no2,67,11.9,56.3,32,644.24,267,32,40,16,46,32
2021/12/28,CN,Lanzhou,o3,57,0.5,27.7,2.5,499.16,63,3,4,2,4,3
2021/12/28,CN,Lanzhou,pm10,66,50,106,81,1953.08,0,66,101,41,108,66
2021/12/28,CN,Lanzhou,pm25,67,104,189,156,3620.17,0,101,138,97,206,103
2021/12/28,CN,Lanzhou,pressure,72,1021,1027,1023,32.68,0,228,0,0,0,0
2021/12/28,CN,Lanzhou,so2,65,6.6,55.7,13.2,444.19,146,14,17,7,19,14
2021/12/28,CN,Lanzhou,temperature,72,-18,-2,-14,342.24,-350,-14,-18,-7,-20,-14
2021/12/28,CN,Lanzhou,windspeed,72,0.5,3.6,1.5,7.12,38,2,2,1,3,2
2021/12/29,CN,Lanzhou,co,62,10,81.5,22.6,2739.51,193,23,29,12,33,23
2021/12/29,CN,Lanzhou,dew,66,-21,-15,-18,50.2,-450,-18,-23,-9,-26,-18
2021/12/29,CN,Lanzhou,humidity,72,33,71,52,1606.74,434,51,65,26,72,51
2021/12/29,CN,Lanzhou,no2,66,22.9,63.2,33.9,1123.37,283,34,43,17,49,34
2021/12/29,CN,Lanzhou,o3,46,0.5,19.5,2.5,182.88,63,3,4,2,4,3
2021/12/29,CN,Lanzhou,pm10,64,53,123,82,2170.95,0,66,101,41,109,66
2021/12/29,CN,Lanzhou,pm25,64,99,190,158,5642.3,0,102,139,99,208,104
2021/12/29,CN,Lanzhou,pressure,72,1025,1029,1027,13.08,0,229,0,0,0,0
2021/12/29,CN,Lanzhou,so2,63,8.2,27.4,15.2,332.98,156,16,19,8,22,16
2021/12/29,CN,Lanzhou,temperature,72,-17,-1,-12,308.43,-300,-12,-15,-6,-18,-12
2021/12/29,CN,Lanzhou,windspeed,72,0.5,3.6,1.5,8.31,38,2,2,1,3,2
2021/12/30,CN,Lanzhou,co,72,6.4,54.6,20.8,1589.63,184,21,26,11,30,21
2021/12/30,CN,Lanzhou,dew,45,-19,-13,-17,36.36,-425,-17,-22,-9,-25,-17
2021/12/30,CN,Lanzhou,humidity,69,33,60,45,1023.91,375,45,57,23,63,45
2021/12/30,CN,Lanzhou,no2,72,23.8,67.5,35.2,983.17,294,36,44,18,51,36
2021/12/30,CN,Lanzhou,o3,65,0.5,35.8,4.5,640.93,103,5,6,3,7,5
2021/12/30,CN,Lanzhou,pm10,72,66,113,92,1397.74,0,71,106,46,122,71
2021/12/30,CN,Lanzhou,pm25,72,127,193,163,1343.59,0,102,142,103,213,107
2021/12/30,CN,Lanzhou,pressure,69,1025,1030,1027,19.68,0,229,0,0,0,0
2021/12/30,CN,Lanzhou,so2,72,7.6,29.4,12.2,319.24,141,13,16,7,18,13
2021/12/30,CN,Lanzhou,temperature,69,-13,-1,-8,213.38,-200,-8,-10,-4,-12,-8
2021/12/30,CN,Lanzhou,windspeed,69,0.5,4.6,1.5,12.54,38,2,2,1,3,2
2021/12/31,CN,Lanzhou,co,72,1.9,24.4,11.8,271.51,139,12,15,6,17,12
2021/12/31,CN,Lanzhou,dew,63,-20,-14,-17,29.63,-425,-17,-22,-9,-25,-17
2021/12/31,CN,Lanzhou,humidity,72,31,56,51,651.27,425,51,64,26,70,51
2021/12/31,CN,Lanzhou,no2,72,14.2,56.8,31.6,1192.7,264,32,40,16,46,32
2021/12/31,CN,Lanzhou,o3,71,0.9,26,7.4,442.73,117,8,10,4,11,8
2021/12/31,CN,Lanzhou,pm10,72,47,95,68,1776.59,0,59,85,34,92,59
2021/12/31,CN,Lanzhou,pm25,72,78,174,127,8621.25,0,89,124,73,168,89
2021/12/31,CN,Lanzhou,pressure,72,1024,1027,1027,11.2,0,229,0,0,0,0
2021/12/31,CN,Lanzhou,so2,71,7.1,18.3,12.7,83.74,144,13,16,7,19,13
2021/12/31,CN,Lanzhou,temperature,72,-12,0,-10,155.48,-250,-10,-13,-5,-15,-10
2021/12/31,CN,Lanzhou,windspeed,72,0.5,3.6,1.5,5.65,38,2,2,1,3,2
2022/1/1,CN,Lanzhou,co,72,6.4,47.9,22.6,887.17,193,23,29,12,33,23
2022/1/1,CN,Lanzhou,dew,54,-19,-13,-17,27.8,-425,-17,-22,-9,-25,-17
2022/1/1,CN,Lanzhou,humidity,72,23,71,52,2089.58,434,51,65,26,72,51
2022/1/1,CN,Lanzhou,no2,72,20.6,67.5,34.8,1381.52,290,35,44,18,50,35
2022/1/1,CN,Lanzhou,o3,67,0.5,30.9,2.5,410.52,63,3,4,2,4,3
2022/1/1,CN,Lanzhou,pm10,72,63,115,86,1408.87,0,68,103,43,114,68
2022/1/1,CN,Lanzhou,pm25,72,112,190,161,2396.81,0,102,141,101,211,106
2022/1/1,CN,Lanzhou,pressure,72,1021,1027,1025,42.52,0,229,0,0,0,0
2022/1/1,CN,Lanzhou,so2,70,7.6,23.9,14.2,234.75,151,15,18,8,21,15
2022/1/1,CN,Lanzhou,temperature,72,-14,2,-9,295.62,-225,-9,-12,-5,-13,-9
2022/1/1,CN,Lanzhou,windspeed,72,0.5,4.6,1.5,9.24,38,2,2,1,3,2
2022/1/2,CN,Lanzhou,co,71,7.3,49.7,21.7,859.91,189,22,28,11,31,22
2022/1/2,CN,Lanzhou,dew,72,-20,-15,-18,18.01,-450,-18,-23,-9,-26,-18
2022/1/2,CN,Lanzhou,humidity,72,18,66,44,2427.82,367,44,55,22,62,44
2022/1/2,CN,Lanzhou,no2,71,24.3,74.5,38.4,1035.76,320,39,48,20,55,39
2022/1/2,CN,Lanzhou,o3,59,0.5,24,2.5,415.08,63,3,4,2,4,3
2022/1/2,CN,Lanzhou,pm10,71,65,113,90,1440.37,0,70,105,45,119,70
2022/1/2,CN,Lanzhou,pm25,71,109,183,163,2370.76,0,102,142,103,213,107
2022/1/2,CN,Lanzhou,pressure,72,1016,1021,1018,20.28,0,228,0,0,0,0
2022/1/2,CN,Lanzhou,so2,71,7.6,29.4,12.7,196.9,144,13,16,7,19,13
2022/1/2,CN,Lanzhou,temperature,72,-14,3,-9,359.98,-225,-9,-12,-5,-13,-9
2022/1/2,CN,Lanzhou,windspeed,72,0.5,3.6,1.5,6.05,38,2,2,1,3,2
2022/1/3,CN,Lanzhou,co,68,5.5,59.5,15.4,1035.96,157,16,20,8,22,16
2022/1/3,CN,Lanzhou,dew,72,-22,-17,-20,29.42,-500,-20,-25,-10,-29,-20
2022/1/3,CN,Lanzhou,humidity,72,17,51,40,1065.19,334,40,50,20,57,40
2022/1/3,CN,Lanzhou,no2,68,21.1,61.6,34.3,983.44,286,35,43,18,49,35
2022/1/3,CN,Lanzhou,o3,66,0.5,32.1,2.9,398.81,73,3,4,2,5,3
2022/1/3,CN,Lanzhou,pm10,68,56,113,77,1256.19,0,64,97,39,103,64
2022/1/3,CN,Lanzhou,pm25,68,93,175,154,3689.38,0,101,137,95,204,102
2022/1/3,CN,Lanzhou,pressure,72,1019,1022,1020,10.12,0,228,0,0,0,0
2022/1/3,CN,Lanzhou,so2,68,7.1,36,15.2,448.77,156,16,19,8,22,16
2022/1/3,CN,Lanzhou,temperature,72,-13,2,-9,295.99,-225,-9,-12,-5,-13,-9
2022/1/3,CN,Lanzhou,windspeed,72,0.5,3.6,1.5,9.45,38,2,2,1,3,2
2022/1/4,CN,Lanzhou,co,65,4.6,43.4,22.6,967.18,193,23,29,12,33,23
2022/1/4,CN,Lanzhou,dew,63,-21,-13,-18,70.78,-450,-18,-23,-9,-26,-18
2022/1/4,CN,Lanzhou,humidity,72,25,55,43,807.25,359,43,54,22,60,43
2022/1/4,CN,Lanzhou,no2,65,22,75.6,39.8,1487.95,332,40,50,20,56,40
2022/1/4,CN,Lanzhou,o3,54,0.5,28.5,2.5,441.26,63,3,4,2,4,3
2022/1/4,CN,Lanzhou,pm10,65,66,107,85,1296.43,0,68,103,43,113,68
2022/1/4,CN,Lanzhou,pm25,65,107,182,158,2124.99,0,102,139,99,208,104
2022/1/4,CN,Lanzhou,pressure,72,1014,1021,1017,47.73,0,228,0,0,0,0
2022/1/4,CN,Lanzhou,so2,65,7.6,27.9,11.7,215.07,139,12,15,6,17,12
2022/1/4,CN,Lanzhou,temperature,72,-14,2,-10,316.62,-250,-10,-13,-5,-15,-10
2022/1/4,CN,Lanzhou,windspeed,69,0.5,4.6,2.5,10.31,63,3,4,2,4,3
2022/1/5,CN,Lanzhou,co,71,4.6,59.5,22.6,1113.63,193,23,29,12,33,23
2022/1/5,CN,Lanzhou,dew,66,-20,-12,-16,54.4,-400,-16,-20,-8,-23,-16
2022/1/5,CN,Lanzhou,humidity,72,23,62,49,1676.6,409,49,62,25,68,49
2022/1/5,CN,Lanzhou,no2,70,24.3,76.7,40.3,1197.04,336,41,51,21,57,41
2022/1/5,CN,Lanzhou,o3,61,0.5,27.3,2.5,506.58,63,3,4,2,4,3
2022/1/5,CN,Lanzhou,pm10,70,67,114,86,1185.18,0,68,103,43,114,68
2022/1/5,CN,Lanzhou,pm25,70,82,185,162,3503.33,0,102,141,102,212,106
2022/1/5,CN,Lanzhou,pressure,72,1014,1022,1016,57.18,0,227,0,0,0,0
2022/1/5,CN,Lanzhou,so2,71,7.6,24.4,12.7,203.76,144,13,16,7,19,13
2022/1/5,CN,Lanzhou,temperature,72,-13,3,-9,326.04,-225,-9,-12,-5,-13,-9
2022/1/5,CN,Lanzhou,windspeed,72,0.5,3.6,2.5,8.84,63,3,4,2,4,3
2022/1/6,CN,Lanzhou,co,72,8.2,52.2,21.7,1287.33,189,22,28,11,31,22
2022/1/6,CN,Lanzhou,dew,66,-18,-12,-16,36.17,-400,-16,-20,-8,-23,-16
2022/1/6,CN,Lanzhou,humidity,72,25,66,52,1478.24,434,51,65,26,72,51
2022/1/6,CN,Lanzhou,no2,72,26.6,72.4,38.9,1209.64,325,39,49,20,55,39
2022/1/6,CN,Lanzhou,o3,69,0.5,33.8,5.7,1269.03,109,6,8,3,9,6
2022/1/6,CN,Lanzhou,pm10,72,69,123,88,1088.17,0,69,104,44,117,69
2022/1/6,CN,Lanzhou,pm25,72,139,190,162,1069.48,0,102,141,102,212,106
2022/1/6,CN,Lanzhou,pressure,72,1018,1022,1021,20.28,0,228,0,0,0,0
2022/1/6,CN,Lanzhou,so2,72,6.6,29.4,13.7,229.29,149,14,18,7,20,14
2022/1/6,CN,Lanzhou,temperature,72,-13,3,-8,285.35,-200,-8,-10,-4,-12,-8
2022/1/6,CN,Lanzhou,windspeed,69,0.5,2.5,2.5,4.07,63,3,4,2,4,3
2022/1/7,CN,Lanzhou,co,71,8.2,30.8,16.3,242.55,162,17,21,9,24,17
2022/1/7,CN,Lanzhou,dew,51,-18,-7,-16,212.96,-400,-16,-20,-8,-23,-16
2022/1/7,CN,Lanzhou,humidity,72,52,73,66,254.77,0,58,83,33,89,58
2022/1/7,CN,Lanzhou,no2,72,8.3,44.8,32,617.43,267,32,40,16,46,32
2022/1/7,CN,Lanzhou,o3,61,0.9,31.3,4.9,493.07,105,5,7,3,7,5
2022/1/7,CN,Lanzhou,pm10,72,56,111,78,1195.26,0,64,98,39,104,64
2022/1/7,CN,Lanzhou,pm25,72,99,186,157,1529.57,0,102,139,98,207,104
2022/1/7,CN,Lanzhou,pressure,72,1020,1025,1021,22.24,0,228,0,0,0,0
2022/1/7,CN,Lanzhou,so2,72,6.6,16.8,9.7,53.59,129,10,13,5,14,10
2022/1/7,CN,Lanzhou,temperature,72,-13,0,-5,233.45,-125,-5,-7,-3,-8,-5
2022/1/7,CN,Lanzhou,windspeed,72,0.5,3.6,1.5,9.56,38,2,2,1,3,2
2022/1/8,CN,Lanzhou,co,70,7.3,23.5,12.7,173.5,144,13,16,7,19,13
2022/1/8,CN,Lanzhou,dew,66,-13,-6,-9,37.78,-225,-9,-12,-5,-13,-9
2022/1/8,CN,Lanzhou,humidity,72,43,92,63,2138.71,0,57,79,32,85,57
2022/1/8,CN,Lanzhou,no2,72,11,70.8,25.2,2176.68,210,26,32,13,36,26
2022/1/8,CN,Lanzhou,o3,70,0.9,31.3,12.6,675,143,13,16,7,18,13
2022/1/8,CN,Lanzhou,pm10,72,55,110,76,1627.29,0,63,95,38,102,63
2022/1/8,CN,Lanzhou,pm25,72,104,181,160,2143.84,0,102,140,100,210,105
2022/1/8,CN,Lanzhou,pressure,72,1021,1025,1023,14.77,0,228,0,0,0,0
2022/1/8,CN,Lanzhou,so2,72,6.6,20.3,11.2,120.46,136,12,14,6,16,12
2022/1/8,CN,Lanzhou,temperature,72,-9,2,-5,117.39,-125,-5,-7,-3,-8,-5
2022/1/8,CN,Lanzhou,windspeed,69,0.5,2.5,1.5,3.3,38,2,2,1,3,2
2022/1/9,CN,Lanzhou,co,72,1,48.8,17.2,1330.06,166,18,22,9,25,18
2022/1/9,CN,Lanzhou,dew,57,-16,-9,-14,46.35,-350,-14,-18,-7,-20,-14
2022/1/9,CN,Lanzhou,humidity,69,34,85,67,3212.42,0,59,84,34,90,59
2022/1/9,CN,Lanzhou,no2,72,7.4,53,31.6,1307.08,264,32,40,16,46,32
2022/1/9,CN,Lanzhou,o3,65,0.9,40.7,7.8,1975.03,119,8,10,4,12,8
2022/1/9,CN,Lanzhou,pm10,72,74,232,94,7713.61,0,72,107,47,124,72
2022/1/9,CN,Lanzhou,pm25,72,104,214,163,3021.28,0,102,142,103,213,107
2022/1/9,CN,Lanzhou,pressure,69,1013,1023,1017,73.08,0,228,0,0,0,0
2022/1/9,CN,Lanzhou,so2,71,3.6,23.4,11.7,320.79,139,12,15,6,17,12
2022/1/9,CN,Lanzhou,temperature,69,-12,2,-6,205.97,-150,-6,-8,-3,-9,-6
2022/1/9,CN,Lanzhou,windspeed,69,0.5,8.7,2.5,63.26,63,3,4,2,4,3
2022/1/10,CN,Lanzhou,co,64,1,26.2,9.1,217,126,10,12,5,13,10
2022/1/10,CN,Lanzhou,dew,66,-16,-10,-12,31.83,-300,-12,-15,-6,-18,-12
2022/1/10,CN,Lanzhou,humidity,72,40,92,66,2596.88,0,58,83,33,89,58
2022/1/10,CN,Lanzhou,no2,67,6,58.4,21.1,1736,186,22,27,11,31,22
2022/1/10,CN,Lanzhou,o3,68,0.9,37.8,24.4,1163.86,204,25,31,13,35,25
2022/1/10,CN,Lanzhou,pm10,66,58,104,73,736.23,0,62,92,37,98,62
2022/1/10,CN,Lanzhou,pm25,66,89,163,122,5217.92,0,86,121,69,160,86
2022/1/10,CN,Lanzhou,pressure,72,1023,1028,1024,25.33,0,228,0,0,0,0
2022/1/10,CN,Lanzhou,so2,67,4.1,17.8,7.1,54.33,116,8,9,4,11,8
2022/1/10,CN,Lanzhou,temperature,72,-11,0,-7,144.91,-175,-7,-9,-4,-10,-7
2022/1/10,CN,Lanzhou,windspeed,72,0.5,4.6,1.5,12.73,38,2,2,1,3,2
2022/1/11,CN,Lanzhou,co,71,3.7,47,14.5,662.17,153,15,19,8,21,15
2022/1/11,CN,Lanzhou,dew,60,-18,-12,-15,32.82,-375,-15,-19,-8,-22,-15
2022/1/11,CN,Lanzhou,humidity,66,31,78,52,2513.48,434,51,65,26,72,51
2022/1/11,CN,Lanzhou,no2,69,19.7,58.9,35.7,453.66,298,36,45,18,51,36
2022/1/11,CN,Lanzhou,o3,61,0.5,28.5,3.7,575.02,93,4,5,2,6,4
2022/1/11,CN,Lanzhou,pm10,69,56,101,80,768.39,0,65,100,40,107,65
2022/1/11,CN,Lanzhou,pm25,69,102,173,152,3585.68,0,101,136,94,202,101
2022/1/11,CN,Lanzhou,pressure,66,1016,1022,1019,32.24,0,228,0,0,0,0
2022/1/11,CN,Lanzhou,so2,71,3.6,31.5,11.2,311.86,136,12,14,6,16,12
2022/1/11,CN,Lanzhou,temperature,66,-15,1,-8,290.94,-200,-8,-10,-4,-12,-8
2022/1/11,CN,Lanzhou,windspeed,66,0.5,3.6,1.5,7.9,38,2,2,1,3,2
2022/1/12,CN,Lanzhou,co,68,1,56.3,8.2,955.63,121,9,11,5,12,9
